app_name,category,website,research_status,api_source_accessible,documentation_url,api_findings,composio_toolkit,toolkit_mapping_status,composio_status,composio_tool_count,confidence,verification_status,verification_issues
Vercel,Developer & Infrastructure,,completed,False,,,vercel,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Netlify,Developer & Infrastructure,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
Cloudflare,Developer & Infrastructure,,completed,False,,,cloudflare,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Supabase,Developer & Infrastructure,,completed,False,,,supabase,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Neo4j,Developer & Infrastructure,,completed,False,,,neo4j,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Snowflake,Developer & Infrastructure,,completed,False,,,snowflake,verified,available,17,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
MongoDB Atlas,Developer & Infrastructure,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
Datadog,Developer & Infrastructure,,completed,False,,,datadog,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Sentry,Developer & Infrastructure,,completed,False,,,sentry,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Notion,Productivity,,completed,False,,,notion,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Airtable,Productivity,,completed,False,,,airtable,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Linear,Productivity,,completed,False,,,linear,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Jira,Productivity,,completed,False,,,jira,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Asana,Productivity,,completed,False,,,asana,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Monday.com,Productivity,,completed,False,,,monday,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
ClickUp,Productivity,,completed,False,,,clickup,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Coda,Productivity,,completed,False,,,coda,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Smartsheet,Productivity,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
Harvest,Productivity,,completed,False,,,harvest,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Stripe,Finance,https://stripe.com/,completed,False,https://docs.stripe.com/api,,stripe,verified,available,20,high,verified_with_source_limitation,Official documentation could not be accessed.
Plaid,Finance,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
Binance,Finance,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
Paygent Connect,Finance,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
iPayX,Finance,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
QuickBooks,Finance,,completed,False,,,quickbooks,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Xero,Finance,,completed,False,,,xero,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Brex,Finance,,completed,False,,,brex,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
Ramp,Finance,,completed,False,,,ramp,verified,available,20,high,verified_with_source_limitation,Missing field: website | Official documentation could not be accessed.
PitchBook,Finance,,needs_discovery,False,,,,,,0,,needs_review,Missing field: website | Official documentation could not be accessed. | Composio toolkit was not checked.
NotebookLM,Other,https://cloud.google.com/gemini,completed,False,https://cloud.google.com/gemini,,notebook_lm,candidate,available,11,high,verified_with_source_limitation,Official documentation could not be accessed.
Otter AI,Other,https://help.otter.ai/,completed,False,https://help.otter.ai/,,,not_found,not_checked,0,low,needs_review,Official documentation could not be accessed. | Composio toolkit was not checked. | Research confidence is low.
Fathom,Other,https://fathom.video,completed,False,https://fathom.video,,fathom,candidate,available,7,high,verified_with_source_limitation,Official documentation could not be accessed.
Consensus,Other,https://consensus.app,completed,False,https://consensus.app,,consensus,candidate,available,1,high,verified_with_source_limitation,Official documentation could not be accessed.
Reducto,Other,https://reducto.ai,completed,False,https://reducto.ai,,,not_found,not_checked,0,low,needs_review,Official documentation could not be accessed. | Composio toolkit was not checked. | Research confidence is low.
Devin,Other,https://docs.devin.ai,completed,False,https://docs.devin.ai,,,not_found,not_checked,0,low,needs_review,Official documentation could not be accessed. | Composio toolkit was not checked. | Research confidence is low.
higgsfield,Other,https://higgsfield.ai/cli,completed,False,https://higgsfield.ai/cli,,,not_found,not_checked,0,low,needs_review,Official documentation could not be accessed. | Composio toolkit was not checked. | Research confidence is low.
Mermaid CLI,Other,https://github.com/mermaid-js/mermaid-cli,completed,False,https://github.com/mermaid-js/mermaid-cli,,,not_found,not_checked,0,low,needs_review,Official documentation could not be accessed. | Composio toolkit was not checked. | Research confidence is low.
YouTube Transcript,Other,https://transcriptapi.com,completed,False,https://transcriptapi.com,,youtube_transcript,candidate,available,9,high,verified_with_source_limitation,Official documentation could not be accessed.
Grain,Other,https://grain.com,completed,False,https://grain.com,,,not_found,not_checked,0,low,needs_review,Official documentation could not be accessed. | Composio toolkit was not checked. | Research confidence is low.
