app_name,category,hinted_toolkit,verified_toolkit,status,match_type
Amazon Selling Partner,Ecommerce,AMAZON_SELLING_PARTNER,,not_found,
fanbasis,Ecommerce,FANBASIS,,not_found,
DataForSEO,SEO/Scraping,DATAFORSEO,dataforseo,verified,exact_slug
SE Ranking,SEO/Scraping,SE_RANKING,,not_found,
Ahrefs,SEO/Scraping,AHREFS,ahrefs,verified,exact_slug
MrScraper,SEO/Scraping,MRSCRAPER,mrscraper,verified,exact_slug
Apify,SEO/Scraping,APIFY,apify,verified,exact_slug
Firecrawl,SEO/Scraping,FIRECRAWL,firecrawl,verified,exact_slug
Bright Data,SEO/Scraping,BRIGHT_DATA,brightdata,verified,exact_name
Sherlock,SEO/Scraping,SHERLOCK,,not_found,
Waterfall.io,SEO/Scraping,WATERFALL,,not_found,
Clay,SEO/Scraping,CLAY,,not_found,
GitHub,Developer & Infrastructure,GITHUB,github,verified,exact_slug
Vercel,Developer & Infrastructure,VERCEL,vercel,verified,exact_slug
Netlify,Developer & Infrastructure,NETLIFY,,not_found,
Cloudflare,Developer & Infrastructure,CLOUDFLARE,cloudflare,verified,exact_slug
Supabase,Developer & Infrastructure,SUPABASE,supabase,verified,exact_slug
Neo4j,Developer & Infrastructure,NEO4J,neo4j,verified,exact_slug
Snowflake,Developer & Infrastructure,SNOWFLAKE,snowflake,verified,exact_slug
MongoDB Atlas,Developer & Infrastructure,MONGODB,,not_found,
Datadog,Developer & Infrastructure,DATADOG,datadog,verified,exact_slug
Sentry,Developer & Infrastructure,SENTRY,sentry,verified,exact_slug
Notion,Productivity,NOTION,notion,verified,exact_slug
Airtable,Productivity,AIRTABLE,airtable,verified,exact_slug
Linear,Productivity,LINEAR,linear,verified,exact_slug
Jira,Productivity,JIRA,jira,verified,exact_slug
Asana,Productivity,ASANA,asana,verified,exact_slug
Monday.com,Productivity,MONDAY,monday,verified,exact_slug
ClickUp,Productivity,CLICKUP,clickup,verified,exact_slug
Coda,Productivity,CODA,coda,verified,exact_slug
Smartsheet,Productivity,SMARTSHEET,,not_found,
Harvest,Productivity,HARVEST,harvest,verified,exact_slug
Stripe,Finance,STRIPE,stripe,verified,exact_slug
Plaid,Finance,PLAID,placid,candidate,fuzzy
Binance,Finance,BINANCE,,not_found,
Paygent Connect,Finance,PAYGENT_CONNECT,,not_found,
iPayX,Finance,IPAYX,,not_found,
QuickBooks,Finance,QUICKBOOKS,quickbooks,verified,exact_slug
Xero,Finance,XERO,xero,verified,exact_slug
Brex,Finance,BREX,brex,verified,exact_slug
Ramp,Finance,RAMP,ramp,verified,exact_slug
PitchBook,Finance,PITCHBOOK,,not_found,
NotebookLM,Other,,notebook_lm,verified,exact_name
Otter AI,Other,,,not_found,
Fathom,Other,,fathom,verified,exact_name
Consensus,Other,,consensus,verified,exact_name
Reducto,Other,,,not_found,
Devin,Other,,,not_found,
higgsfield,Other,,higgsfield_mcp,candidate,fuzzy
Mermaid CLI,Other,,,not_found,
YouTube Transcript,Other,,youtube_transcript,verified,exact_name
Grain,Other,,,not_found,
